name,kind,year,price,fuel_kind,km/l,car_output,torque,cc,engine,driving_system,gear,full_length,full_height,full_width,range
메르세데스-벤츠 AMG GT,스포츠카 쿠페,2021,"18,260만원",가솔린,"복합 7km/ℓ 도심 6.2, 고속 8.3",476hp 엔진,64.2kg.m 엔진,"3,982cc",V8 트윈터보,FR,DCT7단,"4,545mm","1,285mm","1,940mm","2,630mm"
메르세데스-벤츠 AMG EQS,대형 세단,2023,"21,600만원",전기,404km 1회 충전 시,"복합 3.2km/kWh 도심 , 고속",484kW 모터 649hp (단순환산치),950Nm 모터 96.9kg.m (단순환산치),107.8kWh 배터리,AWD,자동1단,"5,220mm","1,510mm","1,925mm",
랜드로버 디펜더 110,중형 SUV,2023,"10,640~14,587만원","가솔린, 디젤","복합 6.9~9.8km/ℓ 도심 6.2~9.2, 고속 7.9~10.7",249~400hp 엔진,40.8~66.3kg.m 엔진,"1,997~2,996cc","I6, I4 싱글터보",AWD,자동8단,"4,758mm","1,967mm","1,996mm","3,022mm"
제네시스 GV60,준중형 SUV,2023,"6,493~7,403만원",전기,368~451km 1회 충전 시,"복합 4.1~5.1km/kWh 도심 4.3~5.7, 고속 3.8~4.5",168~360kW 모터 225~482hp (단순환산치),350~700Nm 모터 35.7~71.4kg.m (단순환산치),77.4kWh 배터리,"RR, AWD",자동1단,"4,515mm","1,580mm","1,890mm","2,900mm"
메르세데스-벤츠 GLA클래스,준중형 SUV,2023,"6,540만원",가솔린,"복합 10.3km/ℓ 도심 9.2, 고속 12.1",224hp 엔진,35.7kg.m 엔진,"1,991cc",I4 싱글터보,AWD,DCT8단,"4,440mm","1,625mm","1,850mm","2,730mm"
캐딜락 CT4,중형 세단,2021,"4,935만원",가솔린,"복합 10.6km/ℓ 도심 9.3, 고속 12.9",240hp 엔진,35.7kg.m 엔진,"1,998cc",I4 싱글터보,FR,자동8단,"4,755mm","1,425mm","1,815mm","2,775mm"
BMW X7,대형 SUV,2024,"14,580~17,940만원","가솔린, 디젤","복합 6.9~10km/ℓ 도심 6.2~9.2, 고속 7.9~11.3",340~530hp 엔진,55~76.5kg.m 엔진,"2,993~4,395cc","I6, V8 트윈터보",AWD,자동8단,"5,180mm","1,835mm","1,990mm","3,105mm"
미니 해치백 JCW,소형 해치백,2024,"5,420만원",가솔린,"복합 11.4km/ℓ 도심 10.2, 고속 13.5",231hp 엔진,32.6kg.m 엔진,"1,998cc",I4 싱글터보,FF,자동8단,"3,870mm","1,415mm","1,725mm","2,495mm"
볼보 XC90,준대형 SUV,2023,"8,580~9,510만원",가솔린,"복합 9.3km/ℓ 도심 8.2, 고속 11.3",300hp 엔진,42.8kg.m 엔진,"1,969cc",l4 싱글터보,AWD,자동8단,"4,950mm","1,770mm","1,960mm","2,984mm"
미니 해치백,소형 해치백,2024,"3,610~3,990만원",가솔린,"복합 13.4km/ℓ 도심 12.2, 고속 15.3",136hp 엔진,22.4kg.m 엔진,"1,499cc",I3 싱글터보,FF,DCT7단,"3,865mm","1,415mm","1,725mm","2,495mm"
폭스바겐 티록,소형 SUV,2022,"3,244~3,835만원",디젤,"복합 16.2km/ℓ 도심 15.2, 고속 17.6",150hp 엔진,36.7kg.m 엔진,"1,968cc",I4 싱글터보,FF,DCT7단,"4,235mm","1,575mm","1,820mm","2,605mm"
BMW 5시리즈 플러그인 하이브리드,준대형 세단,2023,"8,440~8,580만원","전기, 가솔린, 하이브리드","복합 17.5km/ℓ 도심 , 고속",292hp/184hp 합산/엔진,35.7kg.m 엔진,"1,998cc",I4 싱글터보,FR,자동8단,"4,965mm","1,480mm","1,870mm","2,975mm"
기아 K3 GT,준중형 해치백,2023,"2,745만원",가솔린,"복합 12.1km/ℓ 도심 10.8, 고속 14",204hp 엔진,27kg.m 엔진,"1,591cc",I4 싱글터보,FF,DCT7단,"4,515mm","1,440mm","1,800mm","2,700mm"
현대 캐스퍼,경형 SUV,2023,"1,375~1,960만원",가솔린,"복합 12.3~14.3km/ℓ 도심 11~13.4, 고속 14.2~15.5",76~100hp 엔진,9.7~17.5kg.m 엔진,998cc,I3 싱글터보,FF,자동4단,"3,595mm","1,575~1,605mm","1,595mm","2,400mm"
미니 해치백 S,소형 해치백,2024,"4,600만원",가솔린,"복합 12.3km/ℓ 도심 10.8, 고속 14.9",192hp 엔진,28.6kg.m 엔진,"1,998cc",I4 싱글터보,FF,DCT7단,"3,875mm","1,415mm","1,725mm","2,495mm"
메르세데스-벤츠 마이바흐 S클래스,대형 세단,2023,"29,500~37,500만원",가솔린,"복합 5.9~8.1km/ℓ 도심 4.9~6.9, 고속 8~10.3",503~630hp 엔진,71.4~91.8kg.m 엔진,"3,982~5,980cc","V8, V12 트윈터보",AWD,자동9단,"5,470mm","1,510mm","1,920~1,955mm","3,395mm"
BMW 8시리즈,대형 쿠페,2023,"14,290~15,510만원",가솔린,"복합 7.6km/ℓ 도심 6.6, 고속 9.2",530hp 엔진,76.5kg.m 엔진,"4,395cc",V8 트윈터보,AWD,자동8단,"4,845mm","1,340mm","1,900mm","2,822mm"
캐딜락 CT5-V,준대형 세단,2022,"13,857만원",가솔린,"복합 6.1km/ℓ 도심 5.1, 고속 8.1",668hp 엔진,91.9kg.m 엔진,"6,162cc",V8 슈퍼차저,FR,자동10단,"4,945mm","1,440mm","1,885mm","2,947mm"
기아 쏘렌토,중형 SUV,2023,"3,024~4,418만원","가솔린, 디젤","복합 9.7~14.1km/ℓ 도심 8.8~12.7, 고속 11.1~16.4",194~281hp 엔진,43~45kg.m 엔진,"2,151~2,497cc",I4 싱글터보,"FF, AWD",DCT8단,"4,810mm","1,695~1,700mm","1,900mm","2,815mm"
제네시스 G90 LWB,대형 세단,2023,"16,714만원",가솔린,"복합 8.2km/ℓ 도심 7.1, 고속 10",415hp 엔진,56kg.m 엔진,"3,470cc",V6 트윈터보,AWD,자동8단,"5,465mm","1,490mm","1,930mm","3,370mm"
메르세데스-벤츠 E클래스,준대형 세단,2023,"7,050~11,570만원","가솔린, 디젤","복합 9.7~13.7km/ℓ 도심 8.7~12.7, 고속 11.4~15",200~367hp 엔진,35.7~51kg.m 엔진,"1,991~2,999cc","I4, I6 싱글터보","FR, AWD",자동9단,"4,940mm","1,470~1,480mm","1,850~1,860mm","2,940mm"
BMW 4시리즈,중형 쿠페,2024,"6,620~8,970만원",가솔린,"복합 10.4~11.5km/ℓ 도심 9.1~10.3, 고속 12.7~13.5",184~387hp 엔진,30.6~51kg.m 엔진,"1,998~2,998cc","I4, I6 싱글터보","FR, AWD",자동8단,"4,770mm","1,385~1,395mm","1,845mm","2,850mm"
쉐보레 볼트 EV,소형 해치백,2023,"4,430만원",전기,414km 1회 충전 시,"복합 5.4km/kWh 도심 6, 고속 4.8",150kW 모터 201hp (단순환산치),360Nm 모터 36.7kg.m (단순환산치),66kWh 배터리,FF,자동1단,"4,140mm","1,595mm","1,765mm","2,600mm"
람보르기니 우라칸 에보,스포츠카 쿠페,2020,"29,900~34,540만원",가솔린,"복합 도심 , 고속",610~640hp 엔진,57.1~61.2kg.m 엔진,"5,204cc",V10 자연흡기,"MR, AWD",DCT7단,"4,250~4,520mm","1,165mm","1,933mm","2,620mm"
지프 랭글러 2도어,중형 SUV,2023,"6,990만원",가솔린,"복합 8.7km/ℓ 도심 8.1, 고속 9.5",272hp 엔진,40.8kg.m 엔진,"1,995cc",I4 싱글터보,AWD,자동8단,"4,330mm","1,840mm","1,895mm","2,460mm"
BMW M5,준대형 세단,2023,"16,620만원",가솔린,"복합 7.6km/ℓ 도심 6.6, 고속 9.2",625hp 엔진,76.5kg.m 엔진,"4,395cc",V8 트윈터보,AWD,자동8단,"4,985mm","1,475mm","1,905mm","2,975mm"
마세라티 르반떼,준대형 SUV,2022,"11,800~23,910만원",가솔린,"복합 5.8~7.9km/ℓ 도심 5.1~7.5, 고속 7~8.6",330~580hp 엔진,45.9~74.9kg.m 엔진,"1,995~3,799cc","I4, V6, V8 트윈터보",AWD,자동8단,"5,020mm","1,695mm","1,970~1,980mm","3,004mm"
쉐보레 트래버스,준대형 SUV,2023,"5,640~6,615만원",가솔린,"복합 8.3km/ℓ 도심 7.1, 고속 10.3",310hp 엔진,36.8kg.m 엔진,"3,564cc",V6 자연흡기,AWD,자동9단,"5,230mm","1,780mm","2,000mm","3,073mm"
포르쉐 박스터,스포츠카 컨버터블,2019,"8,960~10,130만원",가솔린,"복합 9~9.4km/ℓ 도심 8~8.4, 고속 10.7~11.1",300~350hp 엔진,38.8~42.8kg.m 엔진,"1,988~2,497cc",F4 싱글터보,MR,DCT7단,"4,379mm","1,280~1,281mm","1,801mm","2,475mm"
폭스바겐 티구안 올스페이스,준중형 SUV,2023,"4,804~5,098만원","가솔린, 디젤","복합 10.1~14.6km/ℓ 도심 9~13.3, 고속 11.9~16.7",150~186hp 엔진,30.6~36.7kg.m 엔진,"1,968~1,984cc",I4 싱글터보,FF,"자동8단, DCT7단","4,730mm","1,670mm","1,840mm","2,790mm"
미니 컨트리맨 S,소형 SUV,2024,"5,570만원",가솔린,"복합 10.7km/ℓ 도심 9.5, 고속 12.8",192hp 엔진,28.6kg.m 엔진,"1,998cc",I4 싱글터보,AWD,자동8단,"4,295mm","1,555mm","1,820mm","2,670mm"
BMW X6,준대형 SUV,2024,"12,580~16,150만원","가솔린, 디젤","복합 7.8~11.9km/ℓ 도심 7~10.9, 고속 9.1~13.4",298~530hp 엔진,53~76.4kg.m 엔진,"2,993~4,395cc","I6, V8 트윈터보",AWD,자동8단,"4,960mm","1,700mm","2,005mm","2,975mm"
대창모터스 다니고 R,소형 트럭,2023,"4,980~5,780만원",전기,186km 1회 충전 시,"복합 도심 , 고속",60kW 모터 80hp (단순환산치),57.7kWh 배터리,RR,자동1단,"4,635mm","2,315mm","1,635mm","3,050mm",
포르쉐 마칸,중형 SUV,2022,"9,560만원",가솔린,"복합 7.8km/ℓ 도심 7, 고속 9",375hp 엔진,53.1kg.m 엔진,"2,894cc",V6 트윈터보,AWD,DCT7단,"4,725mm","1,595mm","1,925mm","2,805mm"
폭스바겐 ID.4,준중형 SUV,2023,"5,690~5,990만원",전기,440km 1회 충전 시,"복합 5.1km/kWh 도심 5.7, 고속 4.5",150kW 모터 201hp (단순환산치),310Nm 모터 31.6kg.m (단순환산치),82kWh 배터리,RR,자동1단,"4,585mm","1,615mm","1,850mm","2,765mm"
아우디 S8 L,대형 세단,2023,"21,630만원",가솔린,"복합 7.6km/ℓ 도심 6.4, 고속 9.8",571hp 엔진,81.5kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"5,320mm","1,500mm","1,945mm","3,128mm"
렉서스 NX 플러그인 하이브리드,중형 SUV,2022,"7,490만원","전기, 가솔린, 하이브리드","복합 14.4km/ℓ 도심 15, 고속 13.7",307hp/182hp 합산/엔진,23.1kg.m 엔진,"2,487cc",I4 자연흡기,AWD,CVT,"4,660mm","1,670mm","1,865mm","2,690mm"
지프 글래디에이터,대형 트럭,2023,"7,990만원",가솔린,"복합 6.5km/ℓ 도심 6.1, 고속 7.2",284hp 엔진,36kg.m 엔진,"3,604cc",V6 자연흡기,4WD,자동8단,"5,600mm","1,850mm","1,935mm","3,490mm"
마세라티 콰트로포르테,대형 세단,2022,"16,970~29,200만원",가솔린,"복합 6~7.4km/ℓ 도심 5.5~6.4, 고속 6.8~9.1",350~580hp 엔진,51.5~74.4kg.m 엔진,"2,979~3,799cc","V6, V8 트윈터보","FR, AWD",자동8단,"5,265mm","1,480~1,485mm","1,950mm","3,170mm"
제네시스 GV80,준대형 SUV,2023,"6,478~7,398만원","가솔린, 디젤","복합 8~11.7km/ℓ 도심 7.1~10.4, 고속 9.3~13.7",273~380hp 엔진,43~60kg.m 엔진,"2,497~3,470cc","I4, I6, V6 트윈터보","FR, AWD",자동8단,"4,945mm","1,715mm","1,975mm","2,955mm"
볼보 XC40 리차지,준중형 SUV,2023,"6,388만원",전기,337km 1회 충전 시,"복합 3.9km/kWh 도심 4.2, 고속 3.6",300kW 모터 402hp (단순환산치),660Nm 모터 67.3kg.m (단순환산치),78kWh 배터리,AWD,자동1단,"4,440mm","1,635mm","1,875mm","2,702mm"
메르세데스-벤츠 EQE,준대형 세단,2023,"9,210~10,620만원",전기,433~471km 1회 충전 시,"복합 4~4.3km/kWh 도심 4.1~4.5, 고속 3.9~4.1",215kW 모터 288hp (단순환산치),565Nm 모터 57.6kg.m (단순환산치),90.6kWh 배터리,"RR, AWD",자동1단,"4,965mm","1,510mm","1,905mm","3,120mm"
대창모터스 다니고 C,소형 트럭,2023,"3,480~3,880만원",전기,156~214km 1회 충전 시,"복합 도심 , 고속",60kW 모터 80hp (단순환산치),38.7~57.7kWh 배터리,RR,자동1단,"4,700mm","1,920mm","1,635mm","3,050mm",
쉐보레 트랙스 크로스오버,소형 SUV,2024,"2,068~2,760만원",가솔린,"복합 12~12.7km/ℓ 도심 11.1~11.7, 고속 13.2~14.3",139hp 엔진,22.4kg.m 엔진,"1,199cc",I3 싱글터보,FF,자동6단,"4,540mm","1,560mm","1,825mm","2,700mm"
BMW 1시리즈,준중형 해치백,2023,"4,150~6,010만원",가솔린,"복합 10~11km/ℓ 도심 8.9~9.7, 고속 11.8~13",192~306hp 엔진,28.6~45.9kg.m 엔진,"1,998cc",I4 싱글터보,"FF, AWD",토크컨버터8단,"4,320mm","1,435mm","1,800mm","2,670~2,690mm"
BMW 2시리즈 그란쿠페,준중형 쿠페,2023,"4,610~6,300만원",가솔린,"복합 10.4~11.2km/ℓ 도심 9.2~9.8, 고속 12.3~13.5",192~306hp 엔진,28.6~45.9kg.m 엔진,"1,998cc",I4 싱글터보,"FF, AWD",자동8단,"4,525mm","1,420mm","1,800mm","2,670mm"
메르세데스-벤츠 E클래스 쿠페,준대형 쿠페,2023,"8,870~10,960만원","가솔린, 디젤","복합 9.1~13.5km/ℓ 도심 8~12.2, 고속 11.2~15.4",265~367hp 엔진,51~56.1kg.m 엔진,"1,993~2,999cc","I4, I6 트윈터보",AWD,자동9단,"4,845mm","1,425~1,435mm","1,860mm","2,875mm"
지프 그랜드 체로키 L,준대형 SUV,2023,"8,910~9,880만원",가솔린,"복합 7.7km/ℓ 도심 6.7, 고속 9.4",286hp 엔진,35.1kg.m 엔진,"3,604cc",V6 자연흡기,4WD,자동8단,"5,220mm","1,795mm","1,975mm","3,090mm"
미니 컨버터블 S,소형 컨버터블,2024,"5,200만원",가솔린,"복합 12km/ℓ 도심 10.5, 고속 14.6",192hp 엔진,28.5kg.m 엔진,"1,998cc",I4 싱글터보,FF,DCT7단,"3,875mm","1,415mm","1,725mm","2,495mm"
아우디 Q7,준대형 SUV,2023,"9,896~11,834만원","가솔린, 디젤","복합 8.4~11km/ℓ 도심 7.5~9.7, 고속 10~13",231~340hp 엔진,50.9~61.1kg.m 엔진,"2,967~2,995cc",V6 싱글터보,AWD,자동8단,"5,065mm","1,740~1,780mm","1,970mm","2,996~2,999mm"
제네시스 G80,준대형 세단,2023,"5,548~6,488만원",가솔린,"복합 8.4~10.8km/ℓ 도심 7.3~9.5, 고속 10.3~13",304~380hp 엔진,43~54kg.m 엔진,"2,497~3,470cc","I4, V6 트윈터보","FR, AWD",자동8단,"4,995mm","1,465mm","1,925mm","3,010mm"
포드 브롱코 4도어,중형 SUV,2023,"8,160만원",가솔린,"복합 8.2km/ℓ 도심 7.5, 고속 9.4",310hp 엔진,55kg.m 엔진,"2,694cc",V6 트윈터보,AWD,자동10단,"4,810mm","1,845mm","1,930mm","2,950mm"
BMW XM,대형 SUV,2023,"22,190~22,530만원","전기, 가솔린, 하이브리드","복합 10km/ℓ 도심 9.6, 고속 10.4",653hp/489hp/145kW 합산/엔진/모터,81.6kg.m/66.3kg.m/28.6Nm 합산/엔진/모터,"4,395cc",V8 트윈터보,AWD,자동8단,"5,110mm","1,755mm","2,005mm","3,105mm"
메르세데스-벤츠 AMG CLA클래스,준중형 쿠페,2023,"8,950만원",가솔린,"복합 9km/ℓ 도심 7.8, 고속 10.9",421hp 엔진,51kg.m 엔진,"1,991cc",I4 싱글터보,AWD,DCT8단,"4,695mm","1,405mm","1,855mm","2,730mm"
제네시스 일렉트리파이드 GV70,중형 SUV,2022,"7,332만원",전기,400km 1회 충전 시,"복합 4.6km/kWh 도심 5, 고속 4.1",320kW 모터 429hp (단순환산치),700Nm 모터 71.4kg.m (단순환산치),77.4kWh 배터리,AWD,자동1단,"4,715mm","1,630mm","1,910mm","2,875mm"
KG 모빌리티 렉스턴 스포츠 칸,준대형 트럭,2024,"3,088~4,469만원",디젤,"복합 10.2~10.5km/ℓ 도심 9.4~9.8, 고속 11~11.8",202hp 엔진,45kg.m 엔진,"2,157cc",I4 싱글터보,"FR, 4WD",자동6단,"5,405~5,415mm","1,855~1,885mm","1,950mm","3,210mm"
메르세데스-벤츠 E클래스 플러그인 하이브리드,준대형 세단,2023,"9,130만원","전기, 가솔린, 하이브리드","복합 10.2km/ℓ 도심 9.6, 고속 11",211hp/90kW 엔진/모터,35.7kg.m/440Nm 엔진/모터,"1,991cc",I4 싱글터보,AWD,자동9단,"4,940mm","1,480mm","1,850mm","2,940mm"
BMW M8,대형 쿠페,2023,"24,080만원",가솔린,"복합 7.6km/ℓ 도심 6.7, 고속 8.9",625hp 엔진,76.5kg.m 엔진,"4,395cc",V8 트윈터보,AWD,자동8단,"4,865mm","1,380mm","1,905mm","2,827mm"
대창모터스 다니고 W,소형 트럭,2023,"4,380만원",전기,186km 1회 충전 시,"복합 도심 , 고속",60kW 모터 80hp (단순환산치),57.7kWh 배터리,RR,자동1단,"4,700mm","2,510mm","1,635mm","3,050mm",
링컨 코세어,준중형 SUV,2022,"5,930만원",가솔린,"복합 9.2km/ℓ 도심 8, 고속 11.3",238hp 엔진,38.7kg.m 엔진,"1,999cc",I4 싱글터보,AWD,자동8단,"4,585mm","1,630mm","1,885mm","2,710mm"
캐딜락 에스컬레이드,대형 SUV,2023,"15,557~16,557만원",가솔린,"복합 6.5~7km/ℓ 도심 5.7~6.1, 고속 7.9~8.4",426hp 엔진,63.6kg.m 엔진,"6,162cc",V8 자연흡기,AWD,자동10단,"5,380~5,765mm","1,935~1,945mm","2,060mm","3,071~3,407mm"
메르세데스-벤츠 E클래스 카브리올레,준대형 컨버터블,2023,"11,470만원",가솔린,"복합 9.7km/ℓ 도심 8.7, 고속 11.2",367hp 엔진,51kg.m 엔진,"2,999cc",I6 트윈터보,AWD,자동9단,"4,855mm","1,435mm","1,860mm","2,875mm"
포르쉐 카이엔 E-하이브리드 쿠페,준대형 SUV,2022,"12,760~14,620만원","전기, 가솔린, 하이브리드","복합 7.7~8km/ℓ 도심 7.5, 고속 8",456hp/343hp/100kW 합산/엔진/모터,71.4kg.m/45.9kg.m/400Nm 합산/엔진/모터,"2,995cc",V6 싱글터보,AWD,DCT8단,"4,930mm","1,675mm","1,985mm","2,895mm"
렉서스 RZ,중형 SUV,2023,"8,490~9,300만원",전기,377km 1회 충전 시,"복합 5.4km/kWh 도심 5.8, 고속 4.9",230kW 모터 308hp (단순환산치),435Nm 모터 44.4kg.m (단순환산치),71.4kWh 배터리,AWD,자동1단,"4,805mm","1,635mm","1,895mm","2,850mm"
BMW 3시리즈,중형 세단,2023,"5,530~8,740만원","가솔린, 디젤","복합 10.4~15km/ℓ 도심 9.1~13.8, 고속 12.6~16.9",184~387hp 엔진,30.6~51kg.m 엔진,"1,995~2,998cc","I4, I6 싱글터보","FR, AWD",자동8단,"4,713~4,714mm","1,440~1,445mm","1,827mm","2,851mm"
메르세데스-벤츠 AMG EQE,준대형 세단,2023,"14,520만원",전기,354km 1회 충전 시,"복합 3.3km/kWh 도심 , 고속",460kW 모터 616hp (단순환산치),950Nm 모터 96.9kg.m (단순환산치),90.5kWh 배터리,AWD,자동1단,"4,965mm","1,495mm","1,905mm","3,120mm"
렉서스 ES F 스포츠 하이브리드,준대형 세단,2023,"7,410만원","가솔린, 하이브리드","복합 16.8km/ℓ 도심 17.1, 고속 16.5",178hp 엔진,22.5kg.m 엔진,"2,487cc",I4 자연흡기,FF,CVT,"4,975mm","1,445mm","1,865mm","2,870mm"
포르쉐 타이칸,준대형 세단,2021,"14,560~23,360만원",전기,251~289km 1회 충전 시,"복합 2.8~2.9km/kWh 도심 , 고속",390~560kW 모터 523~750hp (단순환산치),"640~1,050Nm 모터 65.3~107.1kg.m (단순환산치)",79.2~93.4kWh 배터리,AWD,자동2단,"4,963~4,965mm","1,379~1,380mm","1,965~1,966mm","2,900mm"
아우디 SQ5 스포트백,중형 SUV,2023,"9,705만원",가솔린,"복합 8.9km/ℓ 도심 7.8, 고속 10.7",354hp 엔진,50.9kg.m 엔진,"2,995cc",V6 싱글터보,AWD,자동8단,"4,690mm","1,675mm","1,895mm","2,825mm"
캐딜락 XT5,중형 SUV,2022,"6,843~7,632만원",가솔린,"복합 8km/ℓ 도심 6.9, 고속 10",314hp 엔진,37.4kg.m 엔진,"3,649cc",V6 자연흡기,AWD,자동9단,"4,815mm","1,685mm","1,905mm","2,857mm"
BMW X5 플러그인 하이브리드,준대형 SUV,2024,"12,820~13,520만원","전기, 가솔린, 하이브리드","복합 9.4km/ℓ 도심 , 고속",489hp/313hp/145kW 합산/엔진/모터,71.4kg.m/45.8kg.m/280Nm 합산/엔진/모터,"2,998cc",I6 싱글터보,AWD,자동8단,"4,935mm","1,755mm","2,005mm","2,975mm"
KG 모빌리티 렉스턴 스포츠,준대형 트럭,2024,"2,827~4,031만원",디젤,"복합 10.4~10.6km/ℓ 도심 9.4~9.8, 고속 11.3~12.1",202hp 엔진,45kg.m 엔진,"2,157cc",I4 싱글터보,"4WD, FR",자동6단,"5,095~5,105mm","1,840~1,870mm","1,950mm","3,100mm"
포드 레인저 랩터,준대형 트럭,2023,"7,990만원",디젤,"복합 9km/ℓ 도심 8.5, 고속 9.8",210hp 엔진,51kg.m 엔진,"1,996cc",I4 트윈터보,4WD,자동10단,"5,380mm","2,030mm","1,920mm","3,270mm"
폭스바겐 골프 GTI,준중형 해치백,2023,"4,509만원",가솔린,"복합 11.5km/ℓ 도심 10.1, 고속 13.9",245hp 엔진,37.8kg.m 엔진,"1,984cc",I4 싱글터보,FF,DCT7단,"4,290mm","1,445mm","1,790mm","2,636mm"
아우디 A5 카브리올레,중형 컨버터블,2023,"7,937만원",가솔린,"복합 10.7km/ℓ 도심 9.5, 고속 12.5",265hp 엔진,37.7kg.m 엔진,"1,984cc",I4 싱글터보,AWD,자동7단,"4,705mm","1,390mm","1,845mm","2,765mm"
메르세데스-벤츠 AMG GLA클래스,준중형 SUV,2023,"8,320만원",가솔린,"복합 8.4km/ℓ 도심 7.6, 고속 9.7",387hp 엔진,48.9kg.m 엔진,"1,991cc",I4 싱글터보,AWD,DCT8단,"4,440mm","1,585mm","1,850mm","2,730mm"
기아 봉고3 EV,중형 트럭,2023,"4,365~4,550만원",전기,211km 1회 충전 시,"복합 3.1km/kWh 도심 3.6, 고속 2.7",135kW 모터 181hp (단순환산치),395Nm 모터 40.3kg.m (단순환산치),58.8kWh 배터리,RR,자동1단,"5,115mm","1,995mm","1,740mm","2,810mm"
아우디 A7 플러그인 하이브리드,준대형 쿠페,2023,"9,985만원","전기, 가솔린, 하이브리드","복합 15.7km/ℓ 도심 14.6, 고속 17.2",367hp/252hp/105kW 합산/엔진/모터,51kg.m/37.7kg.m/350Nm 합산/엔진/모터,"1,984cc",I4 싱글터보,AWD,자동7단,"4,975mm","1,425mm","1,910mm","2,927mm"
메르세데스-벤츠 EQB,준중형 SUV,2023,"7,600~8,190만원",전기,313km 1회 충전 시,"복합 4.1km/kWh 도심 4.4, 고속 3.8",168kW 모터 225hp (단순환산치),390Nm 모터 39.8kg.m (단순환산치),66.5kWh 배터리,AWD,자동1단,"4,685mm","1,700mm","1,835mm","2,829mm"
푸조 508 SW,중형 왜건,2022,"4,990만원",디젤,"복합 17.2km/ℓ 도심 15.4, 고속 20",130hp 엔진,30.6kg.m 엔진,"1,499cc",l4 싱글터보,FF,자동8단,"4,780mm","1,420mm","1,860mm","2,800mm"
포르쉐 타이칸 크로스 투리스모,준대형 왜건,2022,"13,800~20,060만원",전기,274~287km 1회 충전 시,"복합 2.8~2.9km/kWh 도심 , 고속",350~500kW 모터 469~670hp (단순환산치),500~850Nm 모터 51~86.7kg.m (단순환산치),93.4kWh 배터리,AWD,자동2단,"4,975mm","1,410mm","1,965mm","2,904mm"
아우디 A6,준대형 세단,2023,"6,946~9,266만원","가솔린, 디젤","복합 10.7~15km/ℓ 도심 9.5~13.7, 고속 12.8~17",204~286hp 엔진,37.7~63.2kg.m 엔진,"1,968~2,967cc","I4, V6 싱글터보","FF, AWD",자동,"4,940~4,950mm","1,460mm","1,885mm","2,924mm"
